Account_Type,ID,Name_or_Organization,Category_or_Subject,Email_Username,Password,City,State,Pincode,CSEEL_Verification_Status
Student Innovator,student-24,"Student Innovator 24","Class 9",student.24@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-25,"Student Innovator 25","Class 10",student.25@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-26,"Student Innovator 26","Class 11",student.26@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-27,"Student Innovator 27","Class 12",student.27@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-28,"Student Innovator 28","Class 9",student.28@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-29,"Student Innovator 29","Class 10",student.29@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-30,"Student Innovator 30","Class 11",student.30@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-31,"Student Innovator 31","Class 12",student.31@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-32,"Student Innovator 32","Class 9",student.32@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-33,"Student Innovator 33","Class 10",student.33@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-34,"Student Innovator 34","Class 11",student.34@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-35,"Student Innovator 35","Class 12",student.35@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-36,"Student Innovator 36","Class 9",student.36@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-37,"Student Innovator 37","Class 10",student.37@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-38,"Student Innovator 38","Class 11",student.38@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-39,"Student Innovator 39","Class 12",student.39@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-40,"Student Innovator 40","Class 9",student.40@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-41,"Student Innovator 41","Class 10",student.41@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-42,"Student Innovator 42","Class 11",student.42@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-43,"Student Innovator 43","Class 12",student.43@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-44,"Student Innovator 44","Class 9",student.44@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-45,"Student Innovator 45","Class 10",student.45@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-46,"Student Innovator 46","Class 11",student.46@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-47,"Student Innovator 47","Class 12",student.47@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
Student Innovator,student-48,"Student Innovator 48","Class 9",student.48@cseel.student,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Junior Scientist
Student Innovator,student-49,"Student Innovator 49","Class 10",student.49@cseel.student,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Junior Scientist
Student Innovator,student-50,"Student Innovator 50","Class 11",student.50@cseel.student,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Junior Scientist
